Column1,이름,설명,분과
27,P.T.C,"안녕하세요 영어동아리 PTC에서 신입 회원들을 모집하구 있어요 작년에는 코로나 문제로 신입회원분들을 모집하지 않았었지만, 올해에는 새학기를 맞아 모집하고 있으니 많은 지원 부탁드려요 많은 좋은 선배들, 동기들 앞으로 생길 후배들과 좋은 추억도 쌓고 아직은 낯설 학교 생활도 도움 받을 수 있답니다 우와 광주 PTC는 총동아리에 정식 등록된 동아리이고 재밌고 유익한 여러 대학 활동들을 체계적으로 하고 있어요 가입신청 경로와 자세한 사항들은 밑에 글을 확인해주시고 더 궁금한 사항은 카톡, 쪽지를 통해 언제든 문의 환영해요 1. 노는 날 봄- MT 여름- Summer camp (전국연합행사) 겨울- Anniversary (창립기념일+졸업식)- Winter camp 2. 공부 여름 - Speech contest 기타- Regular meeting- 영어회화 스터디",4
28,대자연,"안녕하세요 신입생 여러분대자연(대학생 자동차 연구회) 동아리입니다. 신입생 중 많은 분들이 기계공학과에 진학하며 다양한 기계를 직접 만들어보기를 기대하셨을 것입니다.하지만 실질적으로 학교에서 실습할 기회가 거의 주어지지 않습니다.저희 동아리에서는 전공으로 배운 이론들을 바탕으로 실습할 기회를 가질 수 있습니다. 이러한 경험들이 자소서를 작성할 때 도움이 되기도 하고 대회 수상경력 같은 항목들 또한 나중에 취업할 때 큰 도움이 됩니다. 매년 전국 대학생 자작 자동차 대회에 출전하여 전국 대학생들과 교류하고 경쟁하며 수상경력도 보유하고 있습니다. 그리고 내연기관 자동차 뿐 아니라 요즘 이슈가 되고 있는 전기 자동차 대회도 꾸준히 참가하고 있습니다. 이제 성인이 되셔서 운전을 하고 싶으실 텐데 운전 연습할 마땅한 기회가 없어, 막연한 두려움을 가지고 계신 분들에게는 운전교육을 받을 수 있는 좋은 기회라고 생각합니다.학술적인 활동 뿐만 아니라 즐거운 추억을 쌓기 위해 부원들과 하계, 동계 엠티를 가고 주 1회 모임(자율 참여)을 갖고 있으며 잦은 미니 체육 대회를 진행하고 있습니다.동아리에 관심 있으신 분들은 회장 신희동 010-6339-5521 으로 문자 및 전화 주시면 감사하겠습니다.",4
29,OPTION,실물경제 분석을 바탕으로 공부하는 경제학술동아리 OPTION입니다.,4
30,하늘사랑,안녕하세요 조선대학교 아마추어 천체관측 동아리 하늘사랑입니다,4
31,ABC마케팅,"A.B.C(Ads / Branding / Communication) 마케팅 동아리란조선대학교의 유일무이한 기업연계 마케팅 동아리로, 책에서만 배우는 마케팅 이론의 한계를 벗어나 내 아이디어를 직접 실현 가능할 수 있도록 마케팅 기초 교육부터 트렌드 분석, 브랜딩 등 알찬 커리큘럼을 가지고 있습니다.주요 이슈 및 칼럼 등을 분석하여 트렌드에 민감한 마케터를, 직접 기업 접촉 후 프로모션 기획부터 실행까지 하는 실무경험이 탄탄한 마케터를 육성합니다. 활동목표_Be ABC Marketer- 변화와 트렌드를 읽는 마케터: 매주 월/수, 사흘 간의 뉴스와 마케팅 이슈를 찾아 칼럼으로 정리 및 발표하여 트렌드에 민감한 마케터 되기- 실적이 있는 마케터: Ads/Branding 팀 활동에서 목적과 목표를 분명히 한 후 예산을 책정하여 목표치 달성하기- 다양한 실무경험을 겸비한 마케터: 크라우드 펀딩 OR 기업연계 프로젝트 OR 교외 공모전 수상 활동이력2013년 KT&G와 연계 취업대외활동박람회 ‘BLOOM’ 개최, 보해양조와 연계 프로모션 진행2014년 코레일과 연계 ‘내일로 프로모션‘ 진행2015년 ‘메가박스 ON,OFF-line 프로모션’ 진행, ‘잎새주 부라더‘부터 ‘부라더소다’까지 프로모션 진행, ‘삼성생명 리쿠르팅‘ 기업연계 진행2016년 ‘도내기아시아청년문화시장’ 동구청 연계 진행2017년 ‘지오메디칼‘ MOU 체결 및 기업연계 진행2018년 ‘지오메디칼‘ 파트너쉽 체결 및 기업연계 진행2018년 ‘보해양조 천년애’ MOU 체결 및 기업연계 진행2019년 ‘네이버 파트너스퀘어 서포터즈‘ 체결 및 진행2019년 ‘NC wave’ MOU 체결 및 기업연계 진행2020년 ‘㈜리담’ 서포터즈 체결 및 진행2020년 아시아문화콘텐츠시민네트워크와 연계 ‘광주여행자플랫폼’ 온라인 홍보/미디어/마케팅 인턴쉽 진행",4
32,흥사단 아카데미,도산 안창호 선생의 정신을 계승하여 선도적인 인재 양성을 지향하는 학술 동아리입니다.,4
33,ISA,"조선대학교 국제교류동아리, International Student Association",4
34,청람,조선대학교에 재학중인 중국인 학우들과 한국인 학우들의 교류를 위한 동아리입니다!,4
35,12:00(열두시),"“역사를 잊은 민족에게 내일은 없다.”는 단재 신채호 선생님의 말씀처럼 역사공부의 소중함을 알고자 현대사 현장을 탐방하며, 역사문화를 기획 함과 동시에 Youtube 영상물을 제작하고 증강현실 기반의 역사탐방 APP개발을 목적으로 하는 동아리입니다. 자정 12시가 되면 과거에서 현재 그리고 내일로 시간이 바뀌듯 과거와 현재를 이어주는 12시가 되고자 동아리명은 열두시입니다.",4
36,현실 아싸인 내가 이세계에서는 월드 히이로?!,게임 할 시간 부족한 현대인들이젠 현생을 버리고 메이플 월드로 떠나자,4
37,나이스샷,조선대학교 골프 동아리 나이스샷 입니다. 다양한 활동을 경험하고 싶은 조선대 학우분들 골프를 즐길 또래를 구하기 어려운 분들 조금이라도 골프에 관심이 있는 분들 월 2회 스크린 골프장에서 정기 모임을 가지며방학 중에는 필드 라운딩도 계획되어 있습니다 ! ※ 모든 활동은 코로나 방역 수칙을 준수하여 진행되며 사회적 거리두기 단계에 따라 조정됩니다.,6
38,태백회,"안녕하세요! 조선대학교 태권도 동아리 ‘태백회’입니다! 태백회는 30년 이상의 전통을 가지고 있는 동아리로 현재도 여러 선배님들과 교류하여 활동을 이어나가고 있습니다. ▣주 3회 체육대학 2층 유도장에서 수련시간을 갖고 있습니다.(시험기간엔 운동을 하지 않습니다.)초보자분들은 저희 수련부장님이 품새와 발차기 등을 친절하게 알려드립니다. ▣일정기간 수련 후, 단증 취득을 희망하시는 분에게는 별도 수련시간을 통해 심사준비를 도와드리고 있습니다.(2020년에도 회원 중 2명이 단증을 취득하였습니다.) .(※선수 출전금지)고 다양한 학과 사람들과 함께 즐거운 시간보내요! ▣동아리방 : 체육대학 8층 태백회실 페이스북 : https://m.facebook.com/rtaebaek/인스타그램 : https://instagram.com/taebaek.hoe?igshid=41cxxijdt9xh 회장 : 010-9441-3449부회장 : 010-5131-1860",6
39,익스트림(EXTREME),"안녕하세요!! 익스트림은 서바이벌, 페러글라이딩, 스킨스쿠버, 스키 등 다양한 레저스포츠를 즐기는 동아리입니다!!!",6
40,풀카운트,"안녕하세요 조선대학교 유일 정식 야구동아리 ""풀카운트"" 입니다 저희 ""풀카운트""는 야구를 좋아하신다면 ,성별, 나이, 신입생, 재학생 구분 없이 누구나 함께하실 수 있는 동아리입니다!! ""풀카운트""에 오신다면 지금까지 바라보며 응원하는 야구가 아닌 >직접 플레이<하여 경기를 만들어 이끌어 가보실 수 있습니다!",6
41,얼쑤얼티밋,조선대학교와 전남대학교 연합 원반 동아리입니다 ㅎㅎggg,6
42,두드림,두드림은 법무보호대상자의 건전한 사회복귀를 위한 프로그램 기획 및 인식 개선 활동을 진행하는 대학생 서포터즈입니다,5
43,당나귀,"안녕하세요! 조선대학교 봉사동아리 당나귀니다!""당신도나처럼 귀한사람""이라는 뜻으로 <동구자원봉사센터>와 연계하여 다양한 봉사를 진행중입니다!",5
44,애니멀애니몰,"애니멀애니몰은 단순하게 고양이를 좋아하는 동아리가 아닌, 동물과 사람이 공존하는 조선대학교 캠퍼스를 만들기 위해 노력하고 있는 동아리입니다. 저희 동아리가 하는 일은동물보호소 봉사교내 길고양이 급식소 운영 및 치료펀딩 프로젝트동물 보호 캠페인 및 타대학 교류하반기 TNR및 교내 고양이 개체수 파악겨울집 제작 및 설치 회원이 되고자 하는 분들은동물을 귀여워하는 마음보다는 사람과 공존하는 생명체로 여기는 마음책임감을 갖고 급식소 운영과 보호소 봉사를 갈 수 있는 사람적극적으로 동아리 활동에 임해줄 사람 위 자격을 갖추고 계시면 됩니다!! 회비는 학기당 2만원으로 비품, 사료구매, 교내 고양이 치료비로만 사용됩니다(코로나 상황으로 회비 변동예정) 궁금한점은 @cu_animal_anymore DM이나 페이스북 메신저로 연락바랍니다! 많은 지원과 관심 부탁드립니다",5
45,그린액션,그린액션은 기후변화대응 동아리로서 환경 문제의 현 실태를 극복하고 그린캠퍼스를 만들기 위해 다양한 녹색 생활 실천 활동을 전개하는 대학생 그린리더들의 모임입니다.,5
46,IVF,"IVF를 소개합니다 IVF는 Inter-Varsity christian Fellowship 의 영어 약자이고 ‘한국기독학생회’라는 명칭으로 캠퍼스와 세상 속의 하나님 나라 운동을 하는 공동체 입니다~ 말씀(text) 을 함께 읽고 질문을 던지며 우리의 삶의 정황(context) 속에서 하나님 사랑과 이웃 사랑을 어떻게 실천할 수 있을지 고민하고 기도하는 사람들이 모인 공동체 입니다. 기독교,예수님,성경에 대해 몰라도 상관없습니다. 공동체가 필요한 사람에게 누구든지 열려 있는 곳 입니다 IVF가 추구하는 가치 하나님과 인격적 관계를 추구하는 공동체 자유롭게 고민하며 성경적 대안을 찾아가는 공동체 대학생활의 기쁨과 어려움을 함께 나누는 공동체 서로 사랑하는 공동체 어떤 모임이 있을까 # DPM (Daily pray meeting)- IVF의 아침기도회- 사회를 위한 기도, 선교를 위한 기도, 공동체를 위한 기도 등 주제를 두고 기도하는 자리! ",3
47,ESF,"ESF는 Evangelical Student Fellowship(기독대학인회)의 약자로서 ""캠퍼스 복음화를 통한 성서한국, 세계선교"" 를 모토로 활동하고 있는 학원복음화협의회에 정식 등록된 순수 기독교 선교단체입니다!(신천지 및 사이비종교와 전혀 연관되어 있지 않으므로 안심하셔도 됩니다)1976년 서울과 전주를 중심으로 설립되었으며 전국에 다양한 18개 지구, 3개 개척지구, 해외에 8개 지구가 있습니다 ! - SNS광주지구 esf(인스타): @esf_gwangju유튜브 : https://www.youtube.com/channel/UCwIwXdnqVt0X-Z",3
48,인터콥 캠퍼스,마 24:12 말씀을 바탕으로 예수님의 말씀을 따라 10/40창에 위치한 민족들을 향한 기도와 선교사역을 감당하는 동아리입니다. 매주 모여 복음에 소외되어있는 민족을 나누고 기도하며 매년 여름과 겨울에 단기선교와 1년 학생선교사를 파송하는 캠퍼스 선교동아리입니다.,3
49,CCC,한국대학생선교회(CCC).,3
50,SCE,종교분과 SCE 입니다!,3
51,네비게이토 선교회,안녕하세요 네비게이토 선교회입니다,3
52,UBF,UBF(대학교 성경읽기 선교회)는 캠퍼스에서 대학생들에게 기독교 인생관과 세계관을 가르쳐 예수님의 좋은 군사요 성경선생인 캠퍼스목자로 훈련하고 있습니다. 성경을 선배들과 일대일 매칭하므로 인격적이고 체계적으로 성경을 배울 수 잇습니다.,3
53,DFC,총동아리 연합회 소속 dfc동아리 입니다! 매주 목요일에 정기 채플을 합니다.,3
54,원불교 학생회,"원불교 학생회-요즘 부쩍 고민과 걱정들이 많아지고 있지는 않으신가요 저희 원불교 학생회는 명상과 다도, 회화를 통해 각자의 마음을 사용하는 방법을 배워 해결하도록 하는 동아리입니다 명상과 다도 법회를 진행한 후 맛있는 밥도 먹고 보드게임을 하기도 하고 볼링도 하러가고 너무 무겁지 않게 다양한 활동을 진행하니 부담갖지말고 편하게 찾아주세요 또한 저희 원불교 학생회에서는 조선대 학우뿐만 아니라 3개 대학 연합동아리인 호송아리를 통해 전남대, 호남대 학우님들과 함께 연합법회와 MT등을 진행하고 있습니다 저희 원불교 학생회와 함께 명상과 다도를 통해 내 마음을 알아보고 잘 사용하는 방법을 배워가세요",3
55,SFC,"학생 신앙 운동 SFC(student for christ)해방 이후 1947년부터 반성경적인 신사참배로 무녀졌던 조국교회를 보며 기도로 회개하던 학생들이 있었습니다. 그것이 바로 학생신앙운동 sfc의 시작입니다.SFC는 모든 삶의 영역에서 전도와 선교운동, 성경적 리더십양성운동, 성경적 대안실천운동을 통하여 하나님 나라를 회복하고 확장하기 위한 학생자발운동입니다. 하나님 중심, 교회 중심, 성경 중심을 생활원리로 하고 개혁주의 신앙의 대한교회 건설과 국가와 학원의 복음화, 개혁주의 신앙의 세계교회 건설과 세계의 복음화를 목적으로 합니다.",3
56,가톨릭 학생회,저희 가톨릭학생회는 천주교인으로서 가톨릭을 사랑하고 알고 싶은 사람들이 모여 신앙심을 고취시키며 여러 가지 신앙 활동과 봉사 활동 등을 하는 것입니다.,3
57,DSM,DSM(Debtors to Saviour Mission)빚진 자들 선교회라는 이름으로 활동하는 기독교 동아리로 캠퍼스 선교 및 타문화권 선교를 목적으로 하는 선교 공동체입니다. 제자훈련이라는 1:1 멘토링을 통해 삶과 신앙을 나누고 예배와 모임활동을 합니다. 더 많은 활동과 정보가 궁금하시면 인스타그램 @chosun_dsm으로 dm주시고 게시글도 많이 있습니다!,3
58,JDM,"안녕하세요 ~ 가족 같은 분위기가 강점이 JDM입니다 우선 저희는 신천지, 사이비와 관련된 동아리가 아니라는 점을 강조합니다 JDM은 비전트립, 소그룹, 정기채플과 같이 종교활동 뿐만 아니라 축구, 보드게임, 여행과 같이 재밌게 놀 수 있는 동아리랍니다 ~ 지금 이 글을 보고 있는 당신! 환영합니다 ~더 자세한 내용이 궁금하시다면 아래 링크로 들어가주세요~https://linktr.ee/jdm.gwangju",3
59,예수전도단,"조선대학교 예수전도단은 하나님을 알고 하나님을 알리자를 기반으로 예배와 중보기도, 전도, 양육, MC(전국대학생선교대회) 등의 활동을 하고 있습니다.",3
